District,Taluk,Area,DemandProducts,Cost_of_Living,Population,Avg_Income,Competition_Index,Footfall_Potential,AvgRent2BHK,MetroAccess,CrimeReportedCitywide,CrimeDetectedCitywide,AgeGroup
Bangalore Urban,Anekal,Begur,"Real Estate, Restaurants, Supermarket",113105,105530,78646,4,4571,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Hulimangala,"Grocery, Pharmacy, Restaurants",108858,250983,75603,4,1927,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Heelalige,"Warehousing, Grocery, Restaurants",39065,303707,43731,5,8811,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Bannerghatta,"Resorts, Wildlife Tourism, Restaurants",103460,452557,58922,2,6056,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Bommasandra,"Industrial Supplies, Electronics, Grocery",108092,397816,59848,4,189,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Harapanahalli (Anekal),"Grocery, Pharmacy, Restaurants",74693,418992,18390,1,4915,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Yamare,"Agriculture, Nurseries, Grocery",46962,449660,20997,2,2951,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Muthanallur,"Real Estate, Grocery, Restaurants",48295,482132,70506,1,2943,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Sarjapur (Anekal),"Real Estate, Restaurants, Supermarket",33807,421927,27693,4,9217,22000,Planned,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Kasavanahalli,"Restaurants, Supermarket, Clothing",62348,225390,64815,4,6643,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Harlur,"Real Estate, Restaurants, Supermarket",46432,365114,57092,7,6001,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Kodathi,"Real Estate, Grocery, Restaurants",103285,263373,77539,9,1069,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Dommasandra,"Restaurants, Grocery, Pharmacy",111792,367697,15541,9,1194,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Basapura,"Electronics, Restaurants, Grocery",77854,181779,36817,5,6224,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Anekal Town Extension 1,"Silk Sarees, Furniture, Restaurants",60262,190182,52861,1,7447,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Attibele Stage 1,"Industrial Supplies, Warehousing, Restaurants",57080,212860,28428,1,3295,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Electronic City Phase 1,"IT Parks, Restaurants, Clothing",21324,102879,58934,6,1504,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Chandapura Block 1,"Industrial Supplies, Grocery, Electronics",111267,452043,65019,2,7040,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Jigani Cross 1,"Industrial Supplies, Hardware, Restaurants",55909,258260,63831,8,4390,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Huskur Market 1,"Grocery, Pharmacy, Restaurants",109339,418871,25258,9,4082,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Begur Industrial Area 1,"Real Estate, Restaurants, Supermarket",39870,327003,72775,4,5655,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Hulimangala Layout 1,"Grocery, Pharmacy, Restaurants",54578,466841,31044,5,8054,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Heelalige Main Road 1,"Warehousing, Grocery, Restaurants",92124,334242,44411,8,4813,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Bannerghatta Extension 2,"Resorts, Wildlife Tourism, Restaurants",46790,166323,20469,3,3192,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Bommasandra Stage 2,"Industrial Supplies, Electronics, Grocery",45289,142413,43854,5,4259,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Harapanahalli (Anekal) Phase 2,"Grocery, Pharmacy, Restaurants",75129,282670,21256,3,6408,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Yamare Block 2,"Agriculture, Nurseries, Grocery",113714,350904,73550,3,7578,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Muthanallur Cross 2,"Real Estate, Grocery, Restaurants",114246,67837,25720,3,8576,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Sarjapur (Anekal) Market 2,"Real Estate, Restaurants, Supermarket",35485,280550,48937,7,5033,22000,Planned,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Kasavanahalli Industrial Area 2,"Restaurants, Supermarket, Clothing",64482,293680,48598,7,5026,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Harlur Layout 2,"Real Estate, Restaurants, Supermarket",106188,48541,16651,7,9479,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Kodathi Main Road 2,"Real Estate, Grocery, Restaurants",24748,99083,65288,8,4069,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Dommasandra Extension 3,"Restaurants, Grocery, Pharmacy",106769,464243,34194,5,3065,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Basapura Stage 3,"Electronics, Restaurants, Grocery",29435,54531,40051,5,4419,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Anekal Town Phase 3,"Silk Sarees, Furniture, Restaurants",23709,290856,42386,4,9075,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Attibele Block 3,"Industrial Supplies, Warehousing, Restaurants",50355,386245,24518,7,7208,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Electronic City Cross 3,"IT Parks, Restaurants, Clothing",75771,347599,61026,4,9241,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Chandapura Market 3,"Industrial Supplies, Grocery, Electronics",77799,94744,31184,2,4039,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Jigani Industrial Area 3,"Industrial Supplies, Hardware, Restaurants",33116,272859,48787,4,144,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Huskur Layout 3,"Grocery, Pharmacy, Restaurants",45470,149749,36621,8,1910,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Begur Main Road 3,"Real Estate, Restaurants, Supermarket",62344,287253,25028,9,4666,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Hulimangala Extension 4,"Grocery, Pharmacy, Restaurants",62918,331412,27448,3,9121,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Heelalige Stage 4,"Warehousing, Grocery, Restaurants",72224,251809,74792,7,2009,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Bannerghatta Phase 4,"Resorts, Wildlife Tourism, Restaurants",59298,336759,60253,9,6464,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Bommasandra Block 4,"Industrial Supplies, Electronics, Grocery",100219,102503,49051,4,2681,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Harapanahalli (Anekal) Cross 4,"Grocery, Pharmacy, Restaurants",81629,274346,64811,3,791,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Yamare Market 4,"Agriculture, Nurseries, Grocery",86040,442975,45447,5,1031,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Muthanallur Industrial Area 4,"Real Estate, Grocery, Restaurants",119518,105708,77510,1,8010,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Sarjapur (Anekal) Layout 4,"Real Estate, Restaurants, Supermarket",119835,211184,33394,3,6482,22000,Planned,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Kasavanahalli Main Road 4,"Restaurants, Supermarket, Clothing",48016,122471,72742,8,3506,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Harlur Extension 5,"Real Estate, Restaurants, Supermarket",43960,274225,49501,8,8439,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Kodathi Stage 5,"Real Estate, Grocery, Restaurants",53591,177661,45254,4,1132,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Dommasandra Phase 5,"Restaurants, Grocery, Pharmacy",102848,181087,33509,2,1411,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Basapura Block 5,"Electronics, Restaurants, Grocery",87641,180081,66323,8,8679,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Anekal Town Cross 5,"Silk Sarees, Furniture, Restaurants",56395,365453,72418,8,3221,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Attibele Market 5,"Industrial Supplies, Warehousing, Restaurants",42700,408590,63998,4,1973,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Electronic City Industrial Area 5,"IT Parks, Restaurants, Clothing",54620,213118,29472,3,9207,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Chandapura Layout 5,"Industrial Supplies, Grocery, Electronics",40559,388805,60657,2,6881,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Jigani Main Road 5,"Industrial Supplies, Hardware, Restaurants",113045,177215,18471,9,3848,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Huskur Extension 6,"Grocery, Pharmacy, Restaurants",113396,26154,56796,1,377,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Begur Stage 6,"Real Estate, Restaurants, Supermarket",81642,172876,69776,7,1959,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Hulimangala Phase 6,"Grocery, Pharmacy, Restaurants",96539,454904,72843,5,6029,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Heelalige Block 6,"Warehousing, Grocery, Restaurants",41732,84288,45268,8,6892,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Bannerghatta Cross 6,"Resorts, Wildlife Tourism, Restaurants",111362,71195,23329,4,4813,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Bommasandra Market 6,"Industrial Supplies, Electronics, Grocery",50354,302725,49865,7,4775,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Harapanahalli (Anekal) Industrial Area 6,"Grocery, Pharmacy, Restaurants",33843,465864,61850,5,1270,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Yamare Layout 6,"Agriculture, Nurseries, Grocery",91726,312231,69220,5,8781,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Muthanallur Main Road 6,"Real Estate, Grocery, Restaurants",37640,201002,61698,9,9474,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Sarjapur (Anekal) Extension 7,"Real Estate, Restaurants, Supermarket",72528,184053,43272,9,5408,22000,Planned,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Kasavanahalli Stage 7,"Restaurants, Supermarket, Clothing",58413,89298,57845,9,2562,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Harlur Phase 7,"Real Estate, Restaurants, Supermarket",72638,328311,21397,6,9922,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Kodathi Block 7,"Real Estate, Grocery, Restaurants",72736,226376,47373,6,387,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Dommasandra Cross 7,"Restaurants, Grocery, Pharmacy",88866,456624,78468,5,6053,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Basapura Market 7,"Electronics, Restaurants, Grocery",39087,59499,50525,9,4382,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Anekal Town Industrial Area 7,"Silk Sarees, Furniture, Restaurants",61430,407960,68072,8,2007,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Attibele Layout 7,"Industrial Supplies, Warehousing, Restaurants",44504,465485,39570,7,1261,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Electronic City Main Road 7,"IT Parks, Restaurants, Clothing",27114,189631,33284,7,229,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Chandapura Extension 8,"Industrial Supplies, Grocery, Electronics",98859,265198,33994,6,6437,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Jigani Stage 8,"Industrial Supplies, Hardware, Restaurants",119657,487535,38284,5,2463,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Huskur Phase 8,"Grocery, Pharmacy, Restaurants",30975,262997,76330,4,8251,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Begur Block 8,"Real Estate, Restaurants, Supermarket",31023,116347,32833,3,6083,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Hulimangala Cross 8,"Grocery, Pharmacy, Restaurants",41447,330931,40122,3,243,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Heelalige Market 8,"Warehousing, Grocery, Restaurants",110469,317632,79813,6,8307,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Bannerghatta Industrial Area 8,"Resorts, Wildlife Tourism, Restaurants",43959,356585,20017,4,7569,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Bommasandra Layout 8,"Industrial Supplies, Electronics, Grocery",86203,225735,31370,6,344,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Harapanahalli (Anekal) Main Road 8,"Grocery, Pharmacy, Restaurants",49703,42431,44252,3,1026,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Yamare Extension 9,"Agriculture, Nurseries, Grocery",29337,343825,77812,4,3278,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Muthanallur Stage 9,"Real Estate, Grocery, Restaurants",66427,214555,22999,9,2276,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Sarjapur (Anekal) Phase 9,"Real Estate, Restaurants, Supermarket",81529,142720,37436,5,5102,22000,Planned,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Kasavanahalli Block 9,"Restaurants, Supermarket, Clothing",104665,69153,57963,7,986,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Harlur Cross 9,"Real Estate, Restaurants, Supermarket",51921,288512,17096,2,8632,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Kodathi Market 9,"Real Estate, Grocery, Restaurants",53307,440640,79404,5,3498,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Dommasandra Industrial Area 9,"Restaurants, Grocery, Pharmacy",47355,394504,63201,9,8597,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Basapura Layout 9,"Electronics, Restaurants, Grocery",24835,196076,40279,3,9199,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Anekal Town Main Road 9,"Silk Sarees, Furniture, Restaurants",40159,497085,70556,9,2754,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Attibele Extension 10,"Industrial Supplies, Warehousing, Restaurants",67605,239724,58363,6,7492,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Electronic City Stage 10,"IT Parks, Restaurants, Clothing",58088,394899,63709,4,1471,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Chandapura Phase 10,"Industrial Supplies, Grocery, Electronics",98752,76985,41201,7,7235,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Jigani Block 10,"Industrial Supplies, Hardware, Restaurants",75284,332213,34715,8,420,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Huskur Cross 10,"Grocery, Pharmacy, Restaurants",77043,334470,44309,6,4754,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Begur Market 10,"Real Estate, Restaurants, Supermarket",55547,128737,30078,5,5400,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Hulimangala Industrial Area 10,"Grocery, Pharmacy, Restaurants",117007,232133,71614,6,6861,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Heelalige Layout 10,"Warehousing, Grocery, Restaurants",102844,174470,20105,5,6954,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Anekal,Bannerghatta Main Road 10,"Resorts, Wildlife Tourism, Restaurants",47532,249465,67130,8,5605,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Yeshwanthpur,"Wholesale Market, Electronics, Clothing",54349,70861,44312,1,9423,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Mathikere (West),"Cafe, Bookstore, Fitness",65445,358041,17839,7,6653,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Gokula,"Cafe, Grocery, Pharmacy",25713,232977,18384,2,4142,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Muthyala Nagar,"Grocery, Pharmacy, Restaurants",76178,147118,58619,9,9109,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Yeshwanthpur Industrial Suburb,"Industrial Supplies, Hardware, Machinery",69407,350721,57821,1,7598,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,HMT Layout,"Grocery, Pharmacy, Cafe",90340,216713,75200,6,6736,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Muneshwara Nagar,"Grocery, Restaurants, Pharmacy",70990,29078,28493,9,7462,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Sondekoppa Road (fringe),"Warehousing, Transport, Hardware",95672,438219,32069,1,111,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Malleshwaram (West),"Cafe, Clothing Store, Books",85545,344912,61907,4,294,28000,Yes,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Subramanya Nagar,"Grocery, Pharmacy, Cafe",104791,71047,22531,4,2637,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Mahalakshmi Layout (West),"Cafe, Supermarket, Pharmacy",78141,353770,52051,9,2942,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Nandini Layout (West),"Grocery, Electronics, Restaurant",43793,339804,22736,5,2329,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Srirampura,"Clothing Store, Grocery, Pharmacy",76570,255458,22710,5,3109,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Goraguntepalya,"Automotive, Hardware, Industrial",115084,463002,16619,6,8084,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Peenya 2nd Stage (adjacent),"Industrial Supplies, Machinery, Hardware",57892,415141,28975,1,2177,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Soap Factory,"Retail, Grocery, Pharmacy",21015,235048,77424,1,7945,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,YPR Railway Colony,"Grocery, Pharmacy, Cafe",81813,256293,60603,9,3967,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,MES Road,"Automotive, Hardware, Grocery",47712,137832,38252,3,4973,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Hesaraghatta Cross (fringe),"Agriculture, Nurseries, Grocery",28415,412550,30261,4,8735,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Rajajinagar (West),"Electronics, Supermarket, Pharmacy",82292,145150,16431,1,397,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Yeshwanthpur Extension 1,"Wholesale Market, Electronics, Clothing",43833,177087,24067,9,5956,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Mathikere (West) Stage 1,"Cafe, Bookstore, Fitness",24158,53320,52481,8,9136,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Gokula Phase 1,"Cafe, Grocery, Pharmacy",82680,347025,42037,2,1115,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Muthyala Nagar Block 1,"Grocery, Pharmacy, Restaurants",40309,110827,24557,8,1484,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Yeshwanthpur Industrial Suburb Cross 1,"Industrial Supplies, Hardware, Machinery",26970,384359,24435,7,9689,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,HMT Layout Market 1,"Grocery, Pharmacy, Cafe",92474,439505,52766,6,8845,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Muneshwara Nagar Industrial Area 1,"Grocery, Restaurants, Pharmacy",106704,279931,15162,1,2450,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Sondekoppa Road (fringe) Layout 1,"Warehousing, Transport, Hardware",66540,416605,49742,7,1369,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Malleshwaram (West) Main Road 1,"Cafe, Clothing Store, Books",40384,438899,34675,7,1360,28000,Yes,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Subramanya Nagar Extension 2,"Grocery, Pharmacy, Cafe",38017,426845,23461,9,7801,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Mahalakshmi Layout (West) Stage 2,"Cafe, Supermarket, Pharmacy",95880,343694,32015,1,8476,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Nandini Layout (West) Phase 2,"Grocery, Electronics, Restaurant",28702,44826,65057,2,4663,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Srirampura Block 2,"Clothing Store, Grocery, Pharmacy",20384,120734,47591,9,6997,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Goraguntepalya Cross 2,"Automotive, Hardware, Industrial",20404,177702,43047,9,5772,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Peenya 2nd Stage (adjacent) Market 2,"Industrial Supplies, Machinery, Hardware",60943,249834,75597,6,5693,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Soap Factory Industrial Area 2,"Retail, Grocery, Pharmacy",67926,197235,49782,6,6255,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,YPR Railway Colony Layout 2,"Grocery, Pharmacy, Cafe",49189,118511,24833,4,5643,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,MES Road Main Road 2,"Automotive, Hardware, Grocery",32763,479651,22896,4,7340,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Hesaraghatta Cross (fringe) Extension 3,"Agriculture, Nurseries, Grocery",38384,293797,47972,5,4783,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Rajajinagar (West) Stage 3,"Electronics, Supermarket, Pharmacy",80100,179033,64733,3,1981,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Yeshwanthpur Phase 3,"Wholesale Market, Electronics, Clothing",118142,101941,69827,1,8813,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Mathikere (West) Block 3,"Cafe, Bookstore, Fitness",29860,225209,56800,1,3909,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Gokula Cross 3,"Cafe, Grocery, Pharmacy",100642,315806,45508,7,5907,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Muthyala Nagar Market 3,"Grocery, Pharmacy, Restaurants",70612,118818,20347,1,4983,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Yeshwanthpur Industrial Suburb Industrial Area 3,"Industrial Supplies, Hardware, Machinery",43574,469662,74063,1,7306,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,HMT Layout Layout 3,"Grocery, Pharmacy, Cafe",43524,172360,45314,3,4255,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Muneshwara Nagar Main Road 3,"Grocery, Restaurants, Pharmacy",89172,273627,17643,4,4773,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Sondekoppa Road (fringe) Extension 4,"Warehousing, Transport, Hardware",30916,115081,55785,4,1509,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Malleshwaram (West) Stage 4,"Cafe, Clothing Store, Books",24809,56877,33681,2,9986,28000,Yes,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Subramanya Nagar Phase 4,"Grocery, Pharmacy, Cafe",52201,393706,65026,1,5297,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Mahalakshmi Layout (West) Block 4,"Cafe, Supermarket, Pharmacy",73330,428529,53328,3,7552,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Nandini Layout (West) Cross 4,"Grocery, Electronics, Restaurant",33456,231957,30892,4,8818,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Srirampura Market 4,"Clothing Store, Grocery, Pharmacy",76397,92715,62299,3,2272,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Goraguntepalya Industrial Area 4,"Automotive, Hardware, Industrial",58765,161398,32073,8,379,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Peenya 2nd Stage (adjacent) Layout 4,"Industrial Supplies, Machinery, Hardware",54816,130091,51768,1,4077,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Soap Factory Main Road 4,"Retail, Grocery, Pharmacy",65106,152632,45682,2,2769,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,YPR Railway Colony Extension 5,"Grocery, Pharmacy, Cafe",73932,361292,47262,7,7925,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,MES Road Stage 5,"Automotive, Hardware, Grocery",37100,103186,75485,4,4081,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Hesaraghatta Cross (fringe) Phase 5,"Agriculture, Nurseries, Grocery",77091,439961,46358,8,4869,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Rajajinagar (West) Block 5,"Electronics, Supermarket, Pharmacy",41949,182962,73766,3,5347,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Yeshwanthpur Cross 5,"Wholesale Market, Electronics, Clothing",90080,171094,29289,6,4527,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Mathikere (West) Market 5,"Cafe, Bookstore, Fitness",57744,405773,64823,9,6235,,No,12627,3603 (28.5%),25-44
Bangalore Urban,RR Nagar / Yeshwanthpur,Gokula Industrial Area 5,"Cafe, Grocery, Pharmacy",65543,465795,22927,1,5673,,No,12627,3603 (28.5%),25-44
